;data_account;data_amount;data_contract_address;data_evt_block_number;data_evt_block_time;data_evt_index;data_evt_tx_hash;data_writeAmount
0;\xfeec05a103f3ee7c4c42ee1d799b39a5b4c62dbf;0.03;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11030068;2020-10-10T21:12:16+00:00;15;\xbf75a59b8da886688f846dbfa2ba7c126e5f7de2eadefea7d31924200f8befe4;300000000000000000000
1;\x71a5495b8cdcb160c65abae216725ff713507d16;0.5;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11030078;2020-10-10T21:14:27+00:00;39;\x212a857b5fc2668fd4e9394107a98afb65917603991b29ac2fe4c0e66e5b3c28;5000000000000000000000
2;\x9e9ddaae1bcfcb13f4f1720b561fed7eb0ad03e0;0.5;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11030078;2020-10-10T21:14:27+00:00;61;\x533d88d28b42477b1a2dbce61d064b16c7a5a96c241577d9974577143b24efb8;5000000000000000000000
3;\x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d;1.5;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11030084;2020-10-10T21:15:17+00:00;195;\x12660703a4e0f0627fb77e271f90602b6cba5ef180d4e9b48bd813f467bb8132;15000000000000000000000
4;\x9e9ddaae1bcfcb13f4f1720b561fed7eb0ad03e0;0.4;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11030086;2020-10-10T21:15:45+00:00;112;\x40fca0e812dcda18e86b466a5d3092f4c48f8b0b435e8c831ab02e66b2e5280f;4000000000000000000000
5;\x67c79fd475e4fbcab1ecc8018a767dad7172d976;0.2;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11030087;2020-10-10T21:16:03+00:00;27;\xb833a9579327a13b402f37dc2721f0ee1596bdbcf11ca7ac78825a4c9c5f9faf;2000000000000000000000
6;\xfeec05a103f3ee7c4c42ee1d799b39a5b4c62dbf;0.5;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11030089;2020-10-10T21:16:24+00:00;31;\x5db25754d82924ddc420dba056980e6fa77aa095579321697f9dcb3e1919e000;5000000000000000000000
7;\xeb91fbd00444fcb9078030933a9beab5a8c731fc;0.3;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11030093;2020-10-10T21:17:09+00:00;264;\x73c1fa854609cd28d6b98840d3a56359f8f057a63ed105e53daedb3035709a05;3000000000000000000000
8;\xb6f4053be27551d43268c07fefa13b8a7ce23448;0.08781;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11030094;2020-10-10T21:17:50+00:00;60;\xb385cb9bdd25d430f734eca99594045a1dba5b602419f7ae32c998d4f2d7964f;878100000000000000000
9;\xcff7303b8e08403438c751bf21c04771252fa413;0.275;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11030096;2020-10-10T21:17:59+00:00;262;\xcc783567b34901e3596cb9950aae105f0804980f04a73faa59595274ea4e5ff9;2750000000000000000000
10;\x3dca07e16b2becd3eb76a9f9ce240b525451f887;2.5;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11030100;2020-10-10T21:19:03+00:00;64;\x4ec66653e7c72dc8c4fdd302a6afbbde7b9e92a1422e088cb8afa5e5d6204dec;25000000000000000000000
11;\xd1818a80dac94fa1db124b9b1a1bb71dc20f228d;4.0;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11030101;2020-10-10T21:19:36+00:00;206;\x5f11802078fc0549bdfb9b7e57fee3751f2b92d874343aa0a444960972ea0e08;40000000000000000000000
12;\x42c029e3536a8b83b0a5c1b3c2d611e1c03320cc;0.1;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11030103;2020-10-10T21:20:00+00:00;254;\x160beff62b2c5d17f37b36edcc7034a20e7afd1167dee25a599d62a0e903f6cc;1000000000000000000000
13;\x7c01f7c06a0094a3cd0fa4d1c4a94abaf812e886;0.4;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11030108;2020-10-10T21:20:48+00:00;89;\xb27197ebf2a4799eb5d861b1625f6ebacd7f14c636b8397930cc0e6d7a514534;4000000000000000000000
