;index;data_account;data_amount;data_contract_address;data_evt_block_number;data_evt_block_time;data_evt_index;data_evt_tx_hash;data_writeAmount
0;0;\xb49f86d0223437d3e6ce9767e88dfa0413682941;0.10011;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11138219;2020-10-27 11:04:29+00:00;139;\x7054350ca2c733ceb8d9139002c996ff30a47b5fbf0566df680fd7c16bfb130e;999992198330774580666
1;1;\xcdf703190d949ff1b638b0fb6985dbdc7e62afd9;0.50055;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11138299;2020-10-27 11:21:24+00:00;280;\x2e3ffadf2f8b395dcfc9e4b0325a405673962a41587a5d7145e15ab0deb02d92;4999960991653872903327
2;2;\x3dca07e16b2becd3eb76a9f9ce240b525451f887;3.0032871;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11147921;2020-10-28 22:37:27+00:00;43;\x6f93f34fe145108558fa288ad391330a3600735292f88f6786aa7efee814cd4e;29999999722880331064490
3;3;\x2c2f838f0dac3f4915f4a57f3cb63abcd806ee40;0.3003287127742331;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11149514;2020-10-29 04:37:26+00:00;276;\x2cb684c6a644542363b14cbfde881747d06cf6a95d9a1ad4b79fb98b5f1ff6b3;2999999999999999999060
4;4;\x7b4778d265f5280f600a2917c6aaf59b44fb2429;8.9999;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11149741;2020-10-29 05:26:22+00:00;260;\xd6bcad3577852ac4888aa256f8526ab4a58294ae94ead1768ed61ccc8158a218;89900246273237077091534
5;5;\xc2204f33c47f26ac340c5f684889341b517e900c;3.69986;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11149775;2020-10-29 05:32:56+00:00;125;\xda2b7277af632504747c3db7d0c8c402d4f6449186b3a35075599636b87e0f54;36958002330748000760884
6;6;\xcb32033c498b54818e58270f341e5f6a3bce993b;0.10011;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11150455;2020-10-29 08:00:59+00:00;20;\x625feccbb8dc23129d5033d64b1a37993d92158a3a33a8b66bb6c5f27fea807e;999901484071473726101
7;7;\xcb32033c498b54818e58270f341e5f6a3bce993b;9.8634013069034e-06;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11150462;2020-10-29 08:02:07+00:00;53;\x68dd891126b6dc6848460fe8a0b77ca209b1e37e749d5ebd8265aeb3f45569bb;98515928526273331
8;8;\x353408bc10d8cbc260d8cb4269e3a35baf35dbc8;0.010108122362297276;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11154320;2020-10-29 22:09:46+00:00;148;\x83cf975447df23ac1ca9b023715d9e9449ca451ccc762a3d4bcd742259292b61;100916296551983094552
9;9;\xf55d84504217542d4f39d9bf9a70342744836007;0.050092157803277686;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11159750;2020-10-30 18:24:51+00:00;352;\xe8fbd18f289483e5eb76bf50738dbd11f8d54cdf2d8eff0d8cc313465bb3eb5b;499999999999999999968
10;10;\x01a96ca68f6944a0c920215c47ddbb34f4d67317;2.500837690684121;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11178215;2020-11-02 14:30:29+00:00;272;\x6b4dc700a217ee608fb2385785363023bffc99a66d0eae9611f3290d69682d70;24954300403966274864514
11;11;\xc3fd1227da579220afeb28b400dacc4ad6523c7c;2.90541938123692;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11183311;2020-11-03 09:14:19+00:00;62;\xd85a4e873dd85227d0d1e41c3b271091065591b1d8cd5fb829cd25ea589edd1a;28991368895699226675356
12;12;\x33fe24d01539c99c50ecbabec91e05b0f802c0b9;0.40086680855803664;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11183311;2020-11-03 09:14:19+00:00;88;\xa9547e13972842154aba6210d28be89bc4ba69eb5a206016d9850de64bf4faeb;3999999999999999999477
13;13;\x0587e861abb45fba0173a5629bc7033b20930a0b;10.021670213950916;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11183396;2020-11-03 09:31:55+00:00;130;\xa18c13bf6b9e4c229501bc27c5a99067bf8c628c47d0ed77634be29602dad5e1;99999999999999999999886
14;14;\x98116cae5813810941a0404f4208a5355c595a9d;0.10015016645319512;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11183431;2020-11-03 09:39:23+00:00;33;\xfcdd042e37cbaf996a973c9e540dae812500912e2341bcc5e4c60b0116096275;999336081861669999614
15;15;\xd41becc10ed23bba838c2e86220075b8d145a803;0.6013002128370549;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11183603;2020-11-03 10:16:13+00:00;144;\x2d26be80e8c8f78601d6fe46ececdb2eefed8098f957e1a1c18ef81b1c304801;5999999999999999999714
16;16;\xc3c64037c8ba839d8743e04c404326e81f6d41d7;0.6309738364036921;\x878f15ffc8b894a1ba7647c7176e4c01f74e140b;11183614;2020-11-03 10:18:24+00:00;6;\x004d42a089b2684a1b29058662734424ea060edf129b609b58b0254a5cb08624;6296094592349778911555
